Article DOI,journal,year,publisher
10.1021/jm00018a012,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a014,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a017,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a025,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a026,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a028,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00366a007,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00019a001,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00019a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00019a003,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00019a004,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00177a009,Journal of Medicinal Chemistry,1980.0,American Chemical Society (ACS)
10.1021/jm00019a009,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00019a014,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00002a003,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00002a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a004,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a006,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00356a036,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00020a011,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a013,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a014,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a017,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a018,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a026,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00020a029,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00021a006,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00021a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00021a018,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00021a021,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a004,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a011,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a015,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a022,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a023,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00346a009,Journal of Medicinal Chemistry,1982.0,American Chemical Society (ACS)
10.1021/jm00023a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00023a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00023a009,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00023a012,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00024a001,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00024a003,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00024a005,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00024a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00025a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00025a009,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00025a013,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00026a003,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00026a004,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00026a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00003a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00003a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00003a011,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00003a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00355a015,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00356a028,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00004a001,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00004a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00004a011,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00004a013,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00004a014,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00004a015,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00005a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a022,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a025,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a006,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a011,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a012,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00006a016,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00007a004,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00007a009,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00007a014,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00366a001,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00007a016,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00007a018,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00007a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00008a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00008a010,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00008a012,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00008a019,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00009a001,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00360a022,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00009a006,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00009a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00375a001,Journal of Medicinal Chemistry,1984.0,American Chemical Society (ACS)
10.1021/jm00377a010,Journal of Medicinal Chemistry,1984.0,American Chemical Society (ACS)
10.1021/jm00009a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00009a012,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00009a013,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00009a015,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00009a017,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm950372w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950276v,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950414g,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950664x,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00371a008,Journal of Medicinal Chemistry,1984.0,American Chemical Society (ACS)
10.1021/jm00372a001,Journal of Medicinal Chemistry,1984.0,American Chemical Society (ACS)
10.1021/jm9505674,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9502100,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950277n,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950498t,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950278f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950515e,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950514m,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950471+,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950387u,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950817g,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00367a004,Journal of Medicinal Chemistry,1984.0,American Chemical Society (ACS)
10.1021/jm00365a002,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm00366a027,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm950877m,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950543x,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00371a011,Journal of Medicinal Chemistry,1984.0,American Chemical Society (ACS)
10.1021/jm950695s,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960274q,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00175a007,Journal of Medicinal Chemistry,1980.0,American Chemical Society (ACS)
10.1021/jm950825x,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00185a027,Journal of Medicinal Chemistry,1980.0,American Chemical Society (ACS)
10.1021/jm960069a,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960059+,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00349a005,Journal of Medicinal Chemistry,1982.0,American Chemical Society (ACS)
10.1021/jm00358a019,Journal of Medicinal Chemistry,1983.0,American Chemical Society (ACS)
10.1021/jm9602423,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960118j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950923i,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9504621,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9600914,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950711l,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960170f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950858c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960084f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00345a013,Journal of Medicinal Chemistry,1982.0,American Chemical Society (ACS)
10.1021/jm960281e,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960130b,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950655o,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00347a023,Journal of Medicinal Chemistry,1982.0,American Chemical Society (ACS)
10.1021/jm960074e,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960011w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950876u,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960046w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950403n,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950783c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960249k,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960285j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00352a021,Journal of Medicinal Chemistry,1982.0,American Chemical Society (ACS)
10.1021/jm950588y,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950702c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9509096,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9507744,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960191+,Error: 504 Server Error: Gateway Time-out for url: https://api.crossref.org/works/10.1021/jm960191+,,
10.1021/jm960160e,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00133a003,Journal of Medicinal Chemistry,1981.0,American Chemical Society (ACS)
10.1021/jm9601720,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960062t,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9601359,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960254o,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960162z,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960139d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960199j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950907l,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9600205,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9602266,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9603274,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960063l,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950721m,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960311d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960328w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950749y,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00141a014,Journal of Medicinal Chemistry,1981.0,American Chemical Society (ACS)
10.1021/jm960143p,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960251b,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960197z,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9603126,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960395q,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9508649,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9601967,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00184a017,Journal of Medicinal Chemistry,1980.0,American Chemical Society (ACS)
10.1021/jm960159f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950699x,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960248s,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950463t,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9504823,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950677a,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00021a003,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00021a005,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm9505324,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9506433,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960394y,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960415o,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960372b,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960301c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9601718,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960329o,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960268u,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950541c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960361i,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960078j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960296c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960515u,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960324r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9603633,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960376g,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00021a016,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960345l,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960318v,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960325j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950861w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9602773,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00022a005,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960245f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960250j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960404v,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00022a006,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960124f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960350p,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9603375,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960305h,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9604890,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00022a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00022a009,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960507d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960495w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9604991,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9606047,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960455s,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00023a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00023a004,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960525v,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960552l,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9604538,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960288w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960557i,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960687r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960271d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950771r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00024a006,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960603e,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00024a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960486n,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960487f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00024a012,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00078a012,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm960536o,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960269m,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950640q,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9504722,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00033a003,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm950437v,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950616c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950490j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950518r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950811r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm970377o,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm950377t,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9506736,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950423p,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950592+,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950908d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00040a005,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00044a002,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm950922q,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9505369,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950684z,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950369c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00047a003,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00051a001,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00052a002,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm950746l,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950697c,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00001a020,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm950590p,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9504767,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950828+,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950760y,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950797i,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9506478,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9505876,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950786p,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950267m,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950716i,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9507136,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9508797,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960053k,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960056x,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950812j,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9508088,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950892r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950833d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950813b,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950654w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950747d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950807f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1016/j.ejmech.2018.12.045,European Journal of Medicinal Chemistry,2019.0,Elsevier BV
10.1021/jm950878e,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950595m,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9508393,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950887n,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960374w,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9605142,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm960626t,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm960021x,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9605344,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9608671,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9608016,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm960684e,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9600095,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm970140s,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm970038v,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm970036a,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm00019a005,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
